Name	Country	name_index	country_index
Abl	Czech	[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Adsit	Czech	[0, 3, 4, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Ajdrna	Czech	[0, 7, 3, 8, 9, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Alt	Czech	[0, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Antonowitsch	Czech	[0, 9, 6, 11, 9, 11, 12, 5, 6, 4, 13, 14, 0, 0, 0, 0, 0, 0, 0]	0
Antonowitz	Czech	[0, 9, 6, 11, 9, 11, 12, 5, 6, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Bacon	Czech	[16, 10, 13, 11, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Ballalatak	Czech	[16, 10, 2, 2, 10, 2, 10, 6, 10, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Ballaltick	Czech	[16, 10, 2, 2, 10, 2, 6, 5, 13, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Bartonova	Czech	[16, 10, 8, 6, 11, 9, 11, 18, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Bastl	Czech	[16, 10, 4, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Baroch	Czech	[16, 10, 8, 11, 13, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Benesch	Czech	[16, 19, 9, 19, 4, 13, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Betlach	Czech	[16, 19, 6, 2, 10, 13, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Biganska	Czech	[16, 5, 20, 10, 9, 4, 17, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Bilek	Czech	[16, 5, 2, 19, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Blahut	Czech	[16, 2, 10, 14, 21, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Blazek	Czech	[16, 2, 10, 15, 19, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Blazek	Czech	[16, 2, 10, 15, 19, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Blazejovsky	Czech	[16, 2, 10, 15, 19, 7, 11, 18, 4, 17, 22, 0, 0, 0, 0, 0, 0, 0, 0]	0
Blecha	Czech	[16, 2, 19, 13, 14, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Bleskan	Czech	[16, 2, 19, 4, 17, 10, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Blober	Czech	[16, 2, 11, 1, 19, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Bock	Czech	[16, 11, 13, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Bohac	Czech	[16, 11, 14, 10, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Bohunovsky	Czech	[16, 11, 14, 21, 9, 11, 18, 4, 17, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Bolcar	Czech	[16, 11, 2, 13, 10, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Borovka	Czech	[16, 11, 8, 11, 18, 17, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Borovski	Czech	[16, 11, 8, 11, 18, 4, 17, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Borowski	Czech	[16, 11, 8, 11, 12, 4, 17, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Borovsky	Czech	[16, 11, 8, 11, 18, 4, 17, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Brabbery	Czech	[16, 8, 10, 1, 1, 19, 8, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Brezovjak	Czech	[16, 8, 19, 15, 11, 18, 7, 10, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Brousil	Czech	[16, 8, 11, 21, 4, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Bruckner	Czech	[16, 8, 21, 13, 17, 9, 19, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Buchta	Czech	[16, 21, 13, 14, 6, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Cablikova	Czech	[23, 10, 1, 2, 5, 17, 11, 18, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Camfrlova	Czech	[23, 10, 24, 25, 8, 2, 11, 18, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Cap	Czech	[23, 10, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Cerda	Czech	[23, 19, 8, 3, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Cermak	Czech	[23, 19, 8, 24, 10, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Chermak	Czech	[23, 14, 19, 8, 24, 10, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Cermak	Czech	[23, 19, 8, 24, 10, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Cernochova	Czech	[23, 19, 8, 9, 11, 13, 14, 11, 18, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Cernohous	Czech	[23, 19, 8, 9, 11, 14, 11, 21, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Cerny	Czech	[23, 19, 8, 9, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Cerney	Czech	[23, 19, 8, 9, 19, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Cerny	Czech	[23, 19, 8, 9, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Cerv	Czech	[23, 19, 8, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Cervenka	Czech	[23, 19, 8, 18, 19, 9, 17, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Chalupka	Czech	[23, 14, 10, 2, 21, 26, 17, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Charlott	Czech	[23, 14, 10, 8, 2, 11, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Chemlik	Czech	[23, 14, 19, 24, 2, 5, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Chicken	Czech	[23, 14, 5, 13, 17, 19, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Chilar	Czech	[23, 14, 5, 2, 10, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Chromy	Czech	[23, 14, 8, 11, 24, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Cihak	Czech	[23, 5, 14, 10, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Clineburg	Czech	[23, 2, 5, 9, 19, 1, 21, 8, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Klineberg	Czech	[27, 2, 5, 9, 19, 1, 19, 8, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Cober	Czech	[23, 11, 1, 19, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Colling	Czech	[23, 11, 2, 2, 5, 9, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Cvacek	Czech	[23, 18, 10, 13, 19, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Czabal	Czech	[23, 15, 10, 1, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Damell	Czech	[28, 10, 24, 19, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Demall	Czech	[28, 19, 24, 10, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Dehmel	Czech	[28, 19, 14, 24, 19, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Dana	Czech	[28, 10, 9, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Dejmal	Czech	[28, 19, 7, 24, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Dempko	Czech	[28, 19, 24, 26, 17, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Demko	Czech	[28, 19, 24, 17, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Dinko	Czech	[28, 5, 9, 17, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Divoky	Czech	[28, 5, 18, 11, 17, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Dolejsi	Czech	[28, 11, 2, 19, 7, 4, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Dolezal	Czech	[28, 11, 2, 19, 15, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Doljs	Czech	[28, 11, 2, 7, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Dopita	Czech	[28, 11, 26, 5, 6, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Drassal	Czech	[28, 8, 10, 4, 4, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Driml	Czech	[28, 8, 5, 24, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Duyava	Czech	[28, 21, 22, 10, 18, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Dvorak	Czech	[28, 18, 11, 8, 10, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Dziadik	Czech	[28, 15, 5, 10, 3, 5, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Egr	Czech	[29, 20, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Entler	Czech	[29, 9, 6, 2, 19, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Faltysek	Czech	[30, 10, 2, 6, 22, 4, 19, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Faltejsek	Czech	[30, 10, 2, 6, 19, 7, 4, 19, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Fencl	Czech	[30, 19, 9, 13, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
Fenyo	Czech	[30, 19, 9, 22, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	0
